Variable name,Definition,Category
tot_m_f_edutri02,Total_number_of_males_females_with_tertiary_education,EDUCATION 2002
tot_m_f_edu_no02,Total_number_of_males_females_with_no_education,EDUCATION 2002
tot_m_f_in_each_ward02,Total_number_of_males_females_in_each_ward,EDUCATION 2002
f_only_pre_school_over_tot_f02,Females_with_only_pre_school_as_a_of_total_females,EDUCATION 2002
f_only_edupri_over_tot_f02,Females_with_only_primary_education_as_a_of_total_females,EDUCATION 2002
not_known02,Not_known,EDUCATION 2002
m_only_pre_school_over_tot_m02,Males_with_only_pre_school_as_a_of_total_males,EDUCATION 2002
f_pre_school02,Females_Pre_school,EDUCATION 2002
f_edupri02,Females_Primary_Education,EDUCATION 2002
not_known_102,Not_known_1,EDUCATION 2002
f_m_only_pre_school_over_tot_m02,Females_Males_with_only_pre_school_as_a_of_total_males,EDUCATION 2002
pre_school02,Pre_school,EDUCATION 2002
edupri02,Primary_Education,EDUCATION 2002
sh_edu_sec_ter02,Share of people with secondary education or higher 2002,EDUCATION 2002
___TRANSPORT___,-----------------TRANSPORT------------------------ ,
MPiequalj_7,"Market Potential (access to pop including pop of own ward) using OSM, lambda: 0.7",TRANSPORT
MPiequalj_07,"Market Potential (access to pop including pop of own ward) using OSM, lambda: 0.07",TRANSPORT
MPiequalj_02,"Market Potential (access to pop including pop of own ward) using OSM, lambda: 0.02",TRANSPORT
MPiequalj_01,"Market Potential (access to pop including pop of own ward) using OSM, lambda: 0.01",TRANSPORT
MPiequalj_004,"Market Potential (access to pop including pop of own ward) using OSM, lambda: 0.004",TRANSPORT
MP_7,"Market Potential (access to pop excluding pop of own ward) using OSM, lambda: 0.7",TRANSPORT
MP_07,"Market Potential (access to pop excluding pop of own ward) using OSM, lambda: 0.07",TRANSPORT
MP_02,"Market Potential (access to pop excluding pop of own ward) using OSM, lambda: 0.02",TRANSPORT
MP_01,"Market Potential (access to pop excluding pop of own ward) using OSM, lambda: 0.01",TRANSPORT
MP_004,"Market Potential (access to pop excluding pop of own ward) using OSM, lambda: 0.004",TRANSPORT
distM_Harare,"Distance from ward to city in km, OSM",TRANSPORT
distKM_Harare,"Distance from ward to city in km, OSM",TRANSPORT
distMin_Harare,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_Harare,"Travel time from ward to city in hours, OSM",TRANSPORT
Harare_5km,Ward within 5km of Harare,TRANSPORT
Harare_10km,Ward within 10km of Harare,TRANSPORT
Harare_15km,Ward within 15km of Harare,TRANSPORT
Harare_50km,Ward within 50km of Harare,TRANSPORT
Harare_100km,Ward within 100km of Harare,TRANSPORT
distM_CityCouncil,"Distance from ward to city in km, OSM",TRANSPORT
distKM_CityCouncil,"Distance from ward to city in km, OSM",TRANSPORT
distMin_CityCouncil,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_CityCouncil,"Travel time from ward to city in hours, OSM",TRANSPORT
CityCouncil_5km,Ward within 5km of a City Council,TRANSPORT
CityCouncil_10km,Ward within 10km of a City Council,TRANSPORT
CityCouncil_15km,Ward within 15km of a City Council,TRANSPORT
CityCouncil_50km,Ward within 50km of a City Council,TRANSPORT
CityCouncil_100km,Ward within 100km of a City Council,TRANSPORT
distM_Municipality,"Distance from ward to city in km, OSM",TRANSPORT
distKM_Municipality,"Distance from ward to city in km, OSM",TRANSPORT
distMin_Municipality,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_Municipality,"Travel time from ward to city in hours, OSM",TRANSPORT
Municipality_5km,Ward within 5km of a Municipality,TRANSPORT
Municipality_10km,Ward within 10km of a Municipality,TRANSPORT
Municipality_15km,Ward within 15km of a Municipality,TRANSPORT
Municipality_50km,Ward within 50km of a Municipality,TRANSPORT
Municipality_100km,Ward within 100km of a Municipality,TRANSPORT
distM_TownCouncil,"Distance from ward to city in km, OSM",TRANSPORT
distKM_TownCouncil,"Distance from ward to city in km, OSM",TRANSPORT
distMin_TownCouncil,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_TownCouncil,"Travel time from ward to city in hours, OSM",TRANSPORT
TownCouncil_5km,Ward within 5km of a Town Council,TRANSPORT
TownCouncil_10km,Ward within 10km of a Town Council,TRANSPORT
TownCouncil_15km,Ward within 15km of a Town Council,TRANSPORT
TownCouncil_50km,Ward within 50km of a Town Council,TRANSPORT
TownCouncil_100km,Ward within 100km of a Town Council,TRANSPORT
distM_CC_Bulawayo,"Distance from ward to city in km, OSM",TRANSPORT
distKM_CC_Bulawayo,"Distance from ward to city in km, OSM",TRANSPORT
distMin_CC_Bulawayo,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_CC_Bulawayo,"Travel time from ward to city in hours, OSM",TRANSPORT
CC_Bulawayo_5km,Ward within 5km of Bulawayo City Council,TRANSPORT
CC_Bulawayo_10km,Ward within 10km of Bulawayo City Council,TRANSPORT
CC_Bulawayo_15km,Ward within 15km of Bulawayo City Council,TRANSPORT
CC_Bulawayo_50km,Ward within 50km of Bulawayo City Council,TRANSPORT
CC_Bulawayo_100km,Ward within 100km of Bulawayo City Council,TRANSPORT
distM_CC_Mutare,"Distance from ward to city in km, OSM",TRANSPORT
distKM_CC_Mutare,"Distance from ward to city in km, OSM",TRANSPORT
distMin_CC_Mutare,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_CC_Mutare,"Travel time from ward to city in hours, OSM",TRANSPORT
CC_Mutare_5km,Ward within 5km of Mutare City Council,TRANSPORT
CC_Mutare_10km,Ward within 10km of Mutare City Council,TRANSPORT
CC_Mutare_15km,Ward within 15km of Mutare City Council,TRANSPORT
CC_Mutare_50km,Ward within 50km of Mutare City Council,TRANSPORT
CC_Mutare_100km,Ward within 100km of Mutare City Council,TRANSPORT
distM_CC_Kadoma,"Distance from ward to city in km, OSM",TRANSPORT
distKM_CC_Kadoma,"Distance from ward to city in km, OSM",TRANSPORT
distMin_CC_Kadoma,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_CC_Kadoma,"Travel time from ward to city in hours, OSM",TRANSPORT
CC_Kadoma_5km,Ward within 5km of Kadoma City Council,TRANSPORT
CC_Kadoma_10km,Ward within 10km of Kadoma City Council,TRANSPORT
CC_Kadoma_15km,Ward within 15km of Kadoma City Council,TRANSPORT
CC_Kadoma_50km,Ward within 50km of Kadoma City Council,TRANSPORT
CC_Kadoma_100km,Ward within 100km of Kadoma City Council,TRANSPORT
distM_CC_Gweru,"Distance from ward to city in km, OSM",TRANSPORT
distKM_CC_Gweru,"Distance from ward to city in km, OSM",TRANSPORT
distMin_CC_Gweru,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_CC_Gweru,"Travel time from ward to city in hours, OSM",TRANSPORT
CC_Gweru_5km,Ward within 5km of Gweru City Council,TRANSPORT
CC_Gweru_10km,Ward within 10km of Gweru City Council,TRANSPORT
CC_Gweru_15km,Ward within 15km of Gweru City Council,TRANSPORT
CC_Gweru_50km,Ward within 50km of Gweru City Council,TRANSPORT
CC_Gweru_100km,Ward within 100km of Gweru City Council,TRANSPORT
distM_CC_KweKwe,"Distance from ward to city in km, OSM",TRANSPORT
distKM_CC_KweKwe,"Distance from ward to city in km, OSM",TRANSPORT
distMin_CC_KweKwe,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_CC_KweKwe,"Travel time from ward to city in hours, OSM",TRANSPORT
CC_KweKwe_5km,Ward within 5km of KweKwe City Council,TRANSPORT
CC_KweKwe_10km,Ward within 10km of KweKwe City Council,TRANSPORT
CC_KweKwe_15km,Ward within 15km of KweKwe City Council,TRANSPORT
CC_KweKwe_50km,Ward within 50km of KweKwe City Council,TRANSPORT
CC_KweKwe_100km,Ward within 100km of KweKwe City Council,TRANSPORT
distM_CC_Masvingo,"Distance from ward to city in km, OSM",TRANSPORT
distKM_CC_Masvingo,"Distance from ward to city in km, OSM",TRANSPORT
distMin_CC_Masvingo,"Travel time from ward to city in minutes, OSM",TRANSPORT
distHour_CC_Masvingo,"Travel time from ward to city in hours, OSM",TRANSPORT
CC_Masvingo_5km,Ward within 5km of Masvingo City Council,TRANSPORT
CC_Masvingo_10km,Ward within 10km of Masvingo City Council,TRANSPORT
CC_Masvingo_15km,Ward within 15km of Masvingo City Council,TRANSPORT
CC_Masvingo_50km,Ward within 50km of Masvingo City Council,TRANSPORT
CC_Masvingo_100km,Ward within 100km of Masvingo City Council,TRANSPORT
distHarareInt,"Distances to Harare (15, 50, 100km along road)",TRANSPORT
distCityCouncilInt,"Distances to closest City Council (15, 50, 100km along road)",TRANSPORT
distMunicipalityInt,"Distances to closest Municipality (15, 50, 100km along road)",TRANSPORT
distTownCouncilInt,"Distances to closest Town Council (15, 50, 100km along road)",TRANSPORT
distBulawayoInt,"Distances to TC Bulawayo (15, 50, 100km) along road",TRANSPORT
distMutareInt,"Distances to TC Mutare (15, 50, 100km) along road",TRANSPORT
distKadomaInt,"Distances to TC Kadoma (15, 50, 100km) along road",TRANSPORT
distGweruInt,"Distances to TC Gweru (15, 50, 100km) along road",TRANSPORT
distKweKweInt,"Distances to TC KweKwe (15, 50, 100km) along road",TRANSPORT
distMasvingoInt,"Distances to TC Masvingo (15, 50, 100km) along road",TRANSPORT
___MIGRATION___,-----------------MIGRATION------------------------,
pct_migrants2012_district,Proportion migrants 2012 district level,MIGRATION
pct_migrants2002_district,Proportion migrants 2002 district level,MIGRATION
___ENVIRONMENT___,-----------------ENVIRONMENT------------------------,
LC_crop_share,Land Cover: 1 Cropland share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_for_share,Land Cover: 2 Forest share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_shrub_share,Land Cover: 3 Shrubland share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_grass_share,Land Cover: 4 Grassland share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_sparseVeg_share,Land Cover: 5 Sparse Vegetation share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_wetland_share,Land Cover: 6 Wetland share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_urban_share,Land Cover: 7 Urban share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_bare_share,Land Cover: 8 Bare land share of ward (source: ESA CCI 2015),ENVIRONMENT
LC_water_share,Land Cover: 9 Water share of ward (source: ESA CCI 2015),ENVIRONMENT
LCcat,Land Cover: Majority category share of ward (source: ESA CCI 2015),ENVIRONMENT
___LOCATION_TYPES___,-----------------LOCATION TYPES------------------------,
urban_type,Location type (5 urban and 1 rural category),LOCATION TYPES
urban_type_name,Location type name (5 urban and 1 rural category),LOCATION TYPES
urban_type5,Location type (4 urban and 1 rural category),LOCATION TYPES
natural_region,Agro-ecological regions,LOCATION TYPES
nat_region_short,"Agro-ecological regions, short names",LOCATION TYPES
landclass,Land Apportionment 1930,LOCATION TYPES
landclassNo,"Land Apportionment 1930, numeric",LOCATION TYPES
class_Farm_Resettle,Old Land Class: Large Commercial Farm or Resettlement Areas,LOCATION TYPES
class_Farm_ResettleNo,"Old Land Class: Large Commercial Farm or Resettlement Areas, numeric",LOCATION TYPES
landclassNoSub,"Land Apportionment 1930 with Resettlement Areas subcategory, numeric",LOCATION TYPES
